iter	Passed	Remaining
0	2	263
1	4	210
2	6	200
3	7	177
4	9	175
5	10	170
6	12	165
7	14	161
8	15	157
9	17	154
10	18	151
11	20	148
12	21	144
13	22	140
14	24	138
15	25	134
16	26	130
17	27	126
18	28	123
19	30	120
20	31	117
21	32	115
22	33	112
23	34	110
24	36	108
25	37	105
26	38	104
27	39	102
28	41	100
29	42	98
30	43	96
31	44	94
32	45	93
33	46	91
34	48	89
35	49	88
36	50	86
37	52	84
38	53	83
39	54	82
40	56	80
41	56	78
42	57	76
43	58	74
44	59	73
45	61	72
46	62	70
47	64	69
48	65	68
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	73	57
56	75	56
57	76	55
58	77	54
59	79	52
60	80	51
61	81	50
62	82	48
63	84	47
64	85	46
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	29
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	107	21
83	108	20
84	110	19
85	111	18
86	112	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	127	1
99	128	0
